Brand,Product Name,Product URL,Image URL,Description,Price,Category
Eveline Cosmetics,Art Make-Up,https://www.notino.co.uk/eveline-cosmetics/art-make-up-light-mineral-powder-foundation-compact-with-matte-effect/,https://cdn.notinoimg.com/list_2k/eveline-cosmetics/5901761904468_01.jpg,light mineral powder foundation compact with matt effect,4.80,foundation
DIOR,Dior Forever,https://www.notino.co.uk/dior/dior-forever-long-lasting-mattifying-foundation/,https://cdn.notinoimg.com/list_2k/dior/3348901572866_01.jpg,Clean matte foundation - 24h wear - no transfer - concentrated floral skincare,39.10,foundation
Rimmel,Kind & Free,https://www.notino.co.uk/rimmel/kind-free-matte-powder-foundation/,https://cdn.notinoimg.com/list_2k/rimmel/3616302989904_01-o.jpg,mattifying powder foundation,4.30,foundation
DIOR,Dior Forever Natural Velvet Refill,https://www.notino.co.uk/dior/dior-forever-natural-velvet-refill-compact-foundation-long-wear-no-transfer-90-natural-origin-ingredients/,https://cdn.notinoimg.com/list_2k/dior/3348901609067_01.jpg,Compact foundation - long wear - no transfer - 90% natural-origin Ingredients,37.50,foundation
Revlon Cosmetics,ColorStay™,https://www.notino.co.uk/revlon-cosmetics/colorstay-colorstay-long-lasting-mattifying-foundation-spf-15/,https://cdn.notinoimg.com/list_2k/revlon-cosmetics/309974700061_01-ox__19.jpg,long-lasting mattifying foundation for oily and combination skin,7.80,foundation
Heliocare,Color,https://www.notino.co.uk/heliocare/color-compact-foundation-spf-50/,https://cdn.notinoimg.com/list_2k/heliocare/heocolw_kmup10__14.jpg,compact foundation SPF 50,20.00,foundation
Catrice,HD Liquid Coverage,https://www.notino.co.uk/catrice/hd-liquid-coverage-foundation/,https://cdn.notinoimg.com/list_2k/catrice/4250947598290_01-o__20.jpg,foundation,8.00,foundation
Clinique,Almost Powder Makeup SPF 15,https://www.notino.co.uk/clinique/almost-powder-foundation-spf-15/,https://cdn.notinoimg.com/list_2k/clinique/clkalmw_kmup31-o__15.jpg,powder foundation SPF 15,23.50,foundation
ARTDECO,Sun Protection,https://www.notino.co.uk/artdeco/sun-protection-powder-foundation-powder-foundation-spf-50/,https://cdn.notinoimg.com/list_2k/artdeco/4052136057911_01-o__5.jpg,"powder foundation SPF 50 shade 90 Light Sand 9,5 g",16.00,foundation
Lancaster,Sun 365 Compact Cream,https://www.notino.co.uk/lancaster/365-sun-compact-face-sun-cream-spf30/,https://cdn.notinoimg.com/list_2k/lancaster/3607342971080_01-o__8.jpg,facial sunscreen SPF 30,17.30,foundation
